t,r,l,episode_ale_score
154128,13.5,519,450.0
154544,7.0,735,320.0
155680,36.5,741,910.0
156368,16.5,585,510.0
156368,5.5,585,290.0
156448,22.5,893,630.0
158080,8.0,649,340.0
160112,5.5,581,290.0
160192,-1.0,483,160.0
160880,7.0,913,320.0
160896,17.5,623,530.0
161264,15.5,649,490.0
161696,16.0,737,500.0
163232,7.5,591,330.0
163392,32.5,613,830.0
163744,15.5,659,490.0
163776,18.5,463,550.0
164480,1.5,647,210.0
164624,35.5,559,890.0
165824,15.0,591,480.0
165904,25.0,591,680.0
166112,13.5,723,450.0
167936,3.5,489,250.0
169760,11.5,531,410.0
170160,35.5,623,890.0
170704,53.5,789,1250.0
171568,40.5,617,990.0
171824,5.0,527,280.0
172512,6.5,727,310.0
172688,12.5,559,430.0
172912,27.5,751,730.0
173968,6.0,593,300.0
174224,21.0,653,600.0
174352,15.0,695,480.0
174704,15.0,537,480.0
174912,23.0,563,640.0
175072,16.0,653,500.0
175568,5.5,477,290.0
178128,21.0,769,600.0
178688,5.5,499,290.0
179216,11.5,591,410.0
181152,18.0,687,540.0
181344,14.0,611,460.0
182224,17.5,607,530.0
182400,12.5,527,430.0
182752,24.5,615,670.0
183344,7.5,527,330.0
183424,13.5,671,450.0
183792,3.0,545,240.0
184256,22.0,777,620.0
184384,12.5,627,430.0
184992,35.0,673,880.0
185088,2.5,595,230.0
187328,62.5,789,1430.0
187456,26.5,583,710.0
187936,2.5,545,230.0
190592,15.0,453,480.0
190768,2.5,755,230.0
191280,1.5,633,210.0
192144,3.5,675,250.0
192400,15.0,603,480.0
192432,3.5,563,250.0
192800,17.0,661,520.0
193776,19.5,595,570.0
194224,17.0,739,520.0
196048,13.0,691,440.0
196432,37.5,709,930.0
196944,16.5,785,510.0
197024,14.0,827,460.0
197456,17.5,595,530.0
198160,7.0,677,320.0
198896,5.5,519,290.0
198944,15.0,479,480.0
200864,-3.5,529,110.0
201168,8.0,857,340.0
201792,37.0,585,920.0
202240,-3.5,529,110.0
202528,15.0,735,480.0
203104,74.5,685,1670.0
203728,2.5,683,230.0
205488,-3.5,529,110.0
205632,5.5,575,290.0
205760,37.0,721,920.0
205856,17.0,613,520.0
206624,-5.5,529,70.0
207904,6.0,685,300.0
207936,4.0,655,260.0
209296,12.5,647,430.0
209616,2.5,461,230.0
211248,20.5,649,590.0
211760,22.0,623,620.0
212032,21.0,679,600.0
212128,6.0,525,300.0
212832,34.0,871,860.0
214512,21.5,713,610.0
214944,8.5,591,350.0
215504,20.5,555,590.0
216272,13.5,665,450.0
217296,24.5,721,670.0
219632,66.0,861,1500.0
220032,18.5,651,550.0
220656,11.0,533,400.0
221328,9.5,837,370.0
222096,0.0,579,180.0
222240,12.5,655,430.0
222288,13.5,899,450.0
222352,6.0,463,300.0
222368,21.5,695,610.0
222400,7.0,819,320.0
223440,24.0,1307,660.0
223600,21.5,723,610.0
223616,19.5,569,570.0
225376,9.0,569,360.0
225856,21.5,647,610.0
225920,2.5,539,230.0
227920,12.5,493,430.0
228256,13.0,475,440.0
230432,6.0,509,300.0
230656,3.0,441,240.0
231040,12.5,475,430.0
231776,19.0,605,560.0
232112,19.5,609,570.0
232240,17.0,539,520.0
232880,18.5,665,550.0
233632,33.0,705,840.0
233856,45.5,783,1090.0
233984,26.0,897,700.0
235568,8.0,607,340.0
235760,22.5,649,630.0
236528,48.5,663,1150.0
238688,27.5,673,730.0
240144,20.0,523,580.0
240480,12.5,475,430.0
240752,12.0,607,420.0
241552,54.0,831,1260.0
241744,12.5,493,430.0
242128,43.0,1233,1040.0
242672,15.0,765,480.0
243520,21.5,713,610.0
243664,21.5,605,610.0
244368,28.5,857,750.0
244640,8.0,775,340.0
246160,7.0,783,320.0
247296,22.0,673,620.0
248816,10.0,521,380.0
249504,14.5,585,470.0
249664,34.5,869,870.0
251200,35.0,977,880.0
251648,36.0,681,900.0
251856,38.0,823,940.0
252512,7.0,509,320.0
253776,18.5,571,550.0
254384,23.0,679,640.0
254976,23.5,839,650.0
255008,6.5,829,310.0
255104,23.0,777,640.0
256576,17.5,903,530.0
256864,11.5,825,410.0
256960,1.5,509,210.0
257072,2.5,473,230.0
257488,11.5,489,410.0
258256,51.5,685,1210.0
260576,41.5,901,1010.0
260912,2.0,525,220.0
261680,22.0,627,620.0
262352,21.0,697,600.0
263232,43.5,711,1050.0
264096,13.0,413,440.0
266528,41.5,797,1010.0
267152,47.0,637,1120.0
267376,12.5,657,430.0
268048,18.5,817,550.0
268064,19.0,613,560.0
268272,235.5,823,4890.0
268432,40.0,741,980.0
268640,6.0,723,300.0
268864,10.5,905,390.0
269104,33.0,881,840.0
270240,12.5,493,430.0
270640,6.0,463,300.0
270992,24.5,651,670.0
273440,22.0,735,620.0
273696,10.5,799,390.0
274576,3.0,503,240.0
274976,5.0,475,280.0
275552,36.5,525,910.0
276832,9.5,483,370.0
278320,20.5,889,590.0
278768,27.5,619,730.0
280272,45.5,627,1090.0
280608,51.0,761,1200.0
281760,14.5,857,470.0
282016,18.5,859,550.0
282208,5.5,477,290.0
282896,18.5,575,550.0
283088,45.5,903,1090.0
283136,40.0,759,980.0
283152,33.0,943,840.0
283616,29.5,811,770.0
284528,29.5,693,770.0
285232,2.5,525,230.0
287360,6.5,537,310.0
287504,51.0,783,1200.0
288048,20.5,781,590.0
290544,11.0,549,400.0
290640,23.0,627,640.0
291168,8.0,681,340.0
292768,41.0,515,1000.0
293152,33.0,927,840.0
293168,27.5,697,730.0
293536,17.5,665,530.0
293984,6.0,681,300.0
294240,12.5,693,430.0
295600,10.5,749,390.0
295888,52.0,855,1220.0
297232,20.5,881,590.0
297408,19.5,585,570.0
297824,22.5,787,630.0
298432,61.0,683,1400.0
298784,11.5,509,410.0
299744,21.0,575,600.0
300560,7.5,439,330.0
301040,4.0,493,260.0
303088,30.5,745,790.0
303120,18.0,571,540.0
303824,11.5,691,410.0
303888,38.5,603,950.0
303936,84.0,673,1860.0
304256,1.5,541,210.0
304784,43.0,1089,1040.0
306144,6.5,557,310.0
306240,12.5,647,430.0
307728,2.5,581,230.0
307824,6.5,565,310.0
309680,16.5,741,510.0
309776,30.5,773,790.0
309856,17.5,581,530.0
310256,15.5,657,490.0
312352,-5.5,529,70.0
312624,11.5,543,410.0
312640,5.5,595,290.0
314560,15.5,671,490.0
314704,-5.5,529,70.0
315600,1.5,591,210.0
315680,9.5,915,370.0
316624,16.5,773,510.0
317024,5.5,581,290.0
317216,11.5,777,410.0
317888,14.0,925,460.0
317920,15.0,479,480.0
318144,6.5,529,310.0
319312,15.5,591,490.0
319328,16.5,719,510.0
320992,26.5,701,710.0
321552,5.5,557,290.0
322080,5.5,461,290.0
322560,15.5,621,490.0
323232,5.5,477,290.0
323536,6.5,699,310.0
324848,6.5,573,310.0
326576,7.5,527,330.0
326992,15.0,623,480.0
327408,35.5,593,890.0
327504,25.5,809,690.0
327696,6.5,655,310.0
328080,7.5,547,330.0
328368,21.0,655,600.0
