#{"t_start": 1760747982.639977, "env_id": "None"}
r,l,t
17.5,607,30.819965
12.5,527,30.855046
24.5,615,30.926309
7.5,527,31.033755
13.5,671,31.052101
3.0,545,31.116151
22.0,777,31.199005
12.5,627,31.224058
35.0,673,31.32604
2.5,595,31.345599
62.5,789,31.693113
26.5,583,31.719669
2.5,545,31.80199
15.0,453,32.244159
2.5,755,32.278733
1.5,633,32.363463
3.5,675,32.523245
15.0,603,32.57639
3.5,563,32.58992
17.0,661,32.651635
19.5,595,32.806527
17.0,739,32.875164
13.0,691,33.163627
37.5,709,33.230749
16.5,785,33.330056
14.0,827,33.350105
17.5,595,33.421764
7.0,677,33.533594
5.5,519,33.652349
15.0,479,33.663373
-3.5,529,33.97235
8.0,857,34.024442
37.0,585,34.12433
-3.5,529,34.196997
15.0,735,34.246619
74.5,685,34.372604
2.5,683,34.478763
-3.5,529,34.780059
5.5,575,34.808132
37.0,721,34.833351
17.0,613,34.856535
-5.5,529,34.980086
6.0,685,35.189152
4.0,655,35.201174
12.5,647,35.442437
2.5,461,35.494627
20.5,649,35.754194
22.0,623,35.838017
21.0,679,35.894617
6.0,525,35.916665
34.0,871,36.041887
21.5,713,36.326612
8.5,591,36.405944
20.5,555,36.501863
13.5,665,36.632648
24.5,721,36.813524
66.0,861,37.19127
18.5,651,37.259962
11.0,533,37.36889
9.5,837,37.479355
0.0,579,37.61113
12.5,655,37.638036
13.5,899,37.652061
6.0,463,37.66659
21.5,695,37.674612
7.0,819,37.683627
24.0,1307,37.856864
21.5,723,37.892436
19.5,569,37.902457
9.0,569,38.212944
21.5,647,38.290092
2.5,539,38.302619
12.5,493,38.639978
13.0,475,38.700094
6.0,509,39.056666
3.0,441,39.096526
12.5,475,39.155686
19.0,605,39.272165
19.5,609,39.333473
17.0,539,39.35802
18.5,665,39.461002
33.0,705,39.598022
45.5,783,39.639276
26.0,897,39.662374
8.0,607,39.916521
22.5,649,39.951437
48.5,663,40.082748
27.5,673,40.436908
20.0,523,40.67561
12.5,475,40.733927
12.0,607,40.783031
54.0,831,40.917555
12.5,493,40.956248
43.0,1233,41.023894
15.0,765,41.112679
21.5,713,41.248158
21.5,605,41.277086
28.5,857,41.396824
8.0,775,41.468541
7.0,783,41.716726
22.0,673,41.919556
10.0,521,42.17222
14.5,585,42.277597
34.5,869,42.306158
35.0,977,42.546042
36.0,681,42.623708
38.0,823,42.660303
7.0,509,42.773717
18.5,571,42.984577
23.0,679,43.087069
23.5,839,43.19574
6.5,829,43.205759
23.0,777,43.226809
17.5,903,43.48146
11.5,825,43.531499
1.5,509,43.550698
2.5,473,43.574249
11.5,489,43.64724
51.5,685,43.783891
41.5,901,44.149667
2.0,525,44.216334
22.0,627,44.350486
21.0,697,44.491326
43.5,711,44.638468
13.0,413,44.852957
41.5,797,45.243
47.0,637,45.338828
12.5,657,45.382928
18.5,817,45.496245
19.0,613,45.503262
235.5,823,45.543339
40.0,741,45.576908
6.0,723,45.618513
10.5,905,45.666031
33.0,881,45.709657
12.5,493,45.89711
6.0,463,45.963249
24.5,651,46.022594
22.0,735,46.415745
10.5,799,46.462396
3.0,503,46.603615
5.0,475,46.671851
36.5,525,46.766268
9.5,483,46.974617
20.5,889,47.21791
27.5,619,47.295055
45.5,627,47.567005
51.0,761,47.627504
14.5,857,47.805505
18.5,859,47.853661
5.5,477,47.88958
18.5,575,48.005142
45.5,903,48.038719
40.0,759,48.051744
33.0,943,48.058825
29.5,811,48.137445
29.5,693,48.286194
2.5,525,48.406921
6.5,537,48.768598
51.0,783,48.797159
20.5,781,48.894095
11.0,549,49.280841
23.0,627,49.299691
8.0,681,49.388904
41.0,515,49.666536
33.0,927,49.733004
27.5,697,49.740028
17.5,665,49.806326
6.0,681,49.884039
12.5,693,49.930696
10.5,749,50.163155
52.0,855,50.212445
20.5,881,50.449093
19.5,585,50.479154
22.5,787,50.545575
61.0,683,50.644255
11.5,509,50.701698
21.0,575,50.861917
7.5,439,50.996581
4.0,493,51.082923
30.5,745,51.414863
18.0,571,51.422866
11.5,691,51.54353
38.5,603,51.561066
84.0,673,51.575252
1.5,541,51.633643
43.0,1089,51.721842
6.5,557,51.947617
12.5,647,51.967654
2.5,581,52.208899
6.5,565,52.227432
16.5,741,52.531186
30.5,773,52.554725
17.5,581,52.572763
15.5,657,52.644157
-5.5,529,52.989996
11.5,543,53.036056
5.5,595,53.043562
15.5,671,53.343659
-5.5,529,53.371213
1.5,591,53.529317
9.5,915,53.549864
16.5,773,53.710027
5.5,581,53.780047
11.5,777,53.817338
14.0,925,53.927503
15.0,479,53.93752
6.5,529,53.978366
15.5,591,54.174432
16.5,719,54.181939
26.5,701,54.463845
5.5,557,54.553513
5.5,461,54.637784
15.5,621,54.714735
5.5,477,54.825681
6.5,699,54.880305
6.5,573,55.093918
7.5,527,55.377941
15.0,623,55.446578
35.5,593,55.517439
25.5,809,55.541983
6.5,655,55.60462
7.5,547,55.673686
21.0,655,55.726788
5.5,499,55.914904
15.0,707,56.084822
6.0,917,56.193204
22.5,697,56.33691
23.5,553,56.386486
15.5,495,56.466251
14.5,645,56.493302
35.5,625,56.571284
19.5,725,56.660155
7.5,487,56.911177
15.0,559,57.20789
15.5,617,57.26802
13.5,627,57.333671
7.5,517,57.35209
14.0,701,57.423754
16.5,775,57.547718
7.5,479,57.680285
6.5,581,57.702453
3.5,755,57.791288
3.5,581,57.821463
15.5,673,58.236715
16.5,663,58.293474
7.5,663,58.351616
8.5,641,58.375655
15.5,763,58.553828
-2.0,517,58.605926
1.0,487,58.643105
7.0,703,58.789667
4.0,585,58.969576
0.0,489,58.987162
-0.5,475,59.056802
-0.5,475,59.084731
17.0,689,59.120293
4.0,747,59.34169
11.5,711,59.44374
32.5,653,59.450253
11.5,607,59.945935
11.5,605,60.0151
27.0,667,60.052424
9.5,569,60.181748
7.0,739,60.371449
17.0,721,60.585848
8.5,651,60.594605
18.0,607,60.66391
12.5,613,60.693975
17.5,613,60.770331
16.5,623,60.858066
27.5,839,60.867088
37.0,521,60.919585
5.5,647,61.170794
14.0,857,61.47833
21.5,733,61.513896
19.0,595,61.611612
33.5,635,61.78167
12.5,651,61.990454
11.5,511,62.074139
6.0,585,62.299507
12.5,643,62.366088
15.5,593,62.405176
24.5,661,62.424777
12.5,475,62.550686
14.0,919,62.808129
33.0,409,62.829874
30.5,641,62.838381
5.5,679,62.930878
17.0,899,63.071855
20.5,793,63.295164
23.0,587,63.418372
23.5,673,63.518079
9.0,629,63.714885
12.5,493,63.867088
14.5,517,64.024416
16.0,665,64.106681
18.5,581,64.166351
20.5,505,64.306499
44.5,793,64.374442
8.0,613,64.490763
16.0,673,64.496269
19.0,641,64.563782
6.0,785,64.741616
37.5,545,64.885414
6.0,785,64.936153
17.0,643,65.033872
7.0,727,65.039888
19.0,575,65.076381
4.0,367,65.473924
38.0,559,65.510786
4.5,357,65.524917
14.5,697,65.708256
9.0,665,65.930015
35.0,831,65.943544
4.0,569,66.016327
76.0,723,66.03518
5.0,513,66.124664
17.0,791,66.420115
8.0,591,66.475134
36.5,803,66.528232
37.5,613,66.676564
21.0,657,66.792776
8.0,665,66.850904
18.5,547,66.939779
42.0,593,67.095215
17.5,537,67.1573
16.0,507,67.279846
14.5,915,67.353967
12.5,645,67.812744
18.5,531,67.859939
23.0,581,67.93665
32.0,799,68.037526
77.0,1009,68.187176
27.0,835,68.235262
19.0,541,68.265385
16.5,673,68.56279
7.5,653,68.664661
8.0,507,68.721957
24.0,1027,68.753733
7.0,887,68.880044
7.0,617,68.940871
7.5,695,68.952895
3.0,441,69.242079
13.0,409,69.304573
47.5,1011,69.372249
7.5,575,69.383773
12.5,475,69.536196
22.5,651,69.630072
15.5,923,69.630072
33.0,409,69.676509
